No.;Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
;Thermal printer;1;Epson;TM-L500a;UC3F001085;Island E25;;172.17.176.65
;Thermal printer;1;Epson;TM-L500a;NZ4F003175;Island F1;;172.17.176.71
;Thermal printer;1;Epson;TM-L500a;UC3F000985;Island F2;;172.17.176.72
;Thermal printer;1;Epson;TM-L500a;UC3F000996;Island F3;;172.17.176.73
;Thermal printer;1;Epson;TM-L500a;NZ4F003162;Island F4;;172.17.176.74
;Thermal printer;1;Epson;TM-L500a;UC3F001091;Island F5;;172.17.176.75
;Thermal printer;1;Epson;TM-L500a;UC3F000991;Island F6;;172.17.176.76
;Thermal printer;1;Epson;TM-L500a;UC3F001164;Island F7;;172.17.176.77
;Thermal printer;1;Epson;TM-L500a;UC3F000999;Island F8;;172.17.176.78
;Thermal printer;1;Epson;TM-L500a;UC3F000991;Island F9;;172.17.176.79
;Thermal printer;1;Epson;TM-L500a;UC4F001065;Island F10;;172.17.176.80
;Thermal printer;1;Epson;TM-L500a;UC3F001096;Island F11;;172.17.176.81
;Thermal printer;1;Epson;TM-L500a;UC3F001135;Island F12;;172.17.176.82
;Thermal printer;1;Epson;TM-L500a;;Island F14;;172.17.176.84
;Thermal printer;1;Epson;TM-L500a;NZ4F003176;Island F15;;172.17.176.85
;Thermal printer;1;Epson;TM-L500a;UC3F000986;Island F16;;172.17.176.86
;Thermal printer;1;Epson;TM-L500a;UC3F001129;Island F17;;172.17.176.87
;Thermal printer;1;Epson;TM-L500a;NZ4F003185;Island F18;;172.17.176.88
;Thermal printer;1;Epson;TM-L500a;UC3FOO1168;Island F19;;172.17.176.89
;Thermal printer;1;Epson;TM-L500a;;Island F20;;172.17.176.90
;Thermal printer;1;Epson;TM-L500a;UC3F001086;Island F21;;172.17.176.91
;Thermal printer;1;Epson;TM-L500a;NZ4F003182;Island F22;;172.17.176.92
;Thermal printer;1;Epson;TM-L500a;UC3F001095;Island F23;;172.17.176.93
;Thermal printer;1;Epson;TM-L500a;UC3F001103;Island F24;;172.17.176.94
;Thermal printer;1;Epson;TM-L500a;UC3F001089;Island F25;;172.17.176.95
;Thermal printer;1;Epson;TM-L500a;UC3F001165;TransferDom01;;172.17.176.141
;Thermal printer;1;Epson;TM-L500a;UC3F001090;TransferDom02;;172.17.176.142
;Thermal printer;1;Epson;TM-L500a;UC3F000990;TransferDom03;;172.17.176.143
;Thermal printer;1;Epson;TM-L500a;UC3F001156;TransferDom04;;172.17.176.144
;Thermal printer;1;Epson;TM-L500a;UC3F001132;TransferDom05;;172.17.176.145
;Thermal printer;1;Epson;TM-L500a;N24F003168;TransferDom06;;172.17.176.146
;Thermal printer;1;Epson;TM-L500a;;TransferDom??;;
;Thermal printer;1;Epson;TM-L500a;;TransferDom??;;
;Thermal printer;1;Epson;TM-L500a;;TransferDom??;;
;Thermal printer;2;Epson;TM-L500a;;??;;
;Thermal printer;1;Zebra;GC 420 D;53J154200468;Gate11C;;172.17.176.160
;Thermal printer;1;;GC 420 D;53J154200359;Gate12B;;172.17.176.104
;Thermal printer;1;;GC 420 D;53J15400462;Gate13B;;172.17.176.106
;Thermal printer;1;;GC 420 D;53J151602238;Gate14A;;172.17.176.107
;Thermal printer;1;;GC 420 D;53J153101206;gate15B;;172.17.176.110
;Thermal printer;1;;GC 420 D;53J154200257;Gate16A;;172.17.176.111
;Thermal printer;1;;GC 420 D;53J153101286;Gate17C;;172.17.176.177
10;Bagtag printer;1;Epson ;TM-L500a;NZ4F003156;Island E1;;172.17.176.41
;Bagtag printer;1;Epson ;TM-L500a;UC4F001080;Island E2;;172.17.176.42
;Bagtag printer;1;Epson ;TM-L500a;UC4F001081;Island E3;;172.17.176.43
;Bagtag printer;1;Epson ;TM-L500a;UC4F001082;Island E4;;172.17.176.44
;Bagtag printer;1;Epson ;TM-L500a;UC4F001066;Island E5;;172.17.176.45
;Bagtag printer;1;Epson ;TM-L500a;UC4F001077;Island E6;;172.17.176.46
;Bagtag printer;1;Epson ;TM-L500a;UC4F001086;Island E7;;172.17.176.47
;Bagtag printer;1;Epson ;TM-L500a;UC3F001094;Island E8;;172.17.176.48
;Bagtag printer;1;Epson ;TM-L500a;UC3F001089;Island E9;;172.17.176.49
;Bagtag printer;1;Epson ;TM-L500a;UC4F001074;Island E10;;172.17.176.50
;Bagtag printer;1;Epson ;TM-L500a;UC4F001075;Island E11;;172.17.176.51
;Bagtag printer;1;Epson ;TM-L500a;UC3F001169;Island E12;;172.17.176.52
;Bagtag printer;1;Epson ;TM-L500a;UC4F001101;Island E14;;172.17.176.54
;Bagtag printer;1;Epson ;TM-L500a;UC4F001090;Island E15;;172.17.176.55
;Bagtag printer;1;Epson ;TM-L500a;UC4F001095;Island E16;;172.17.176.56
;Bagtag printer;1;Epson ;TM-L500a;UC3F001083;Island E17;;172.17.176.57
;Bagtag printer;1;Epson ;TM-L500a;UC4F001086;Island E18;;172.17.176.58
;Bagtag printer;1;Epson ;TM-L500a;UC4F001071;Island E19;;172.17.176.59
;Bagtag printer;1;Epson ;TM-L500a;UC4F001073;Island E20;;172.17.176.60
;Bagtag printer;1;Epson ;TM-L500a;UC3F001144;Island E21;;172.17.176.61
;Bagtag printer;1;Epson ;TM-L500a;UC3F001147;Island E22;;172.17.176.62
;Bagtag printer;1;Epson ;TM-L500a;UC4F001087;Island E23;;172.17.176.63
;Bagtag printer;1;Epson ;TM-L500a;UC3F001153;Island E24;;172.17.176.64
;Bagtag printer;1;Epson ;TM-L500a;UC3F001008;Island E25;;172.17.176.65
;Bagtag printer;1;Epson ;TM-L500a;UC4F001088;Island F1;;172.17.176.71
;Bagtag printer;1;Epson ;TM-L500a;UC4F001067;Island F2;;172.17.176.72
;Bagtag printer;1;Epson ;TM-L500a;UC3F001101;Island F3;;172.17.176.73
;Bagtag printer;1;Epson ;TM-L500a;UC4F001060;Island F4;;172.17.176.74
;Bagtag printer;1;Epson ;TM-L500a;UC3F001094;Island F5;;172.17.176.75
;Bagtag printer;1;Epson ;TM-L500a;UC4F001002;Island F6;;172.17.176.76
;Bagtag printer;1;Epson ;TM-L500a;UC4F001102;Island F7;;172.17.176.77
;Bagtag printer;1;Epson ;TM-L500a;UC4F001091;Island F8;;172.17.176.78
;Bagtag printer;1;Epson ;TM-L500a;UC4F001093;Island F9;;172.17.176.79
;Bagtag printer;1;Epson ;TM-L500a;UC4F001065;Island F10;;172.17.176.80
;Bagtag printer;1;Epson ;TM-L500a;UC4F001076;Island F11;;172.17.176.81
;Bagtag printer;1;Epson ;TM-L500a;UC4F001098;Island F12;;172.17.176.82
;Bagtag printer;1;Epson ;TM-L500a;;Island F14;;172.17.176.84
;Bagtag printer;1;Epson ;TM-L500a;NZ4F001087;Island F15;;172.17.176.85
;Bagtag printer;1;Epson ;TM-L500a;UC3F001105;Island F16;;172.17.176.86
;Bagtag printer;1;Epson ;TM-L500a;UC3F001139;Island F17;;172.17.176.87
;Bagtag printer;1;Epson ;TM-L500a;UC3F001104;Island F18;;172.17.176.88
;Bagtag printer;1;Epson ;TM-L500a;UC4F001168;Island F19;;172.17.176.89
;Bagtag printer;1;Epson ;TM-L500a;;Island F20;;172.17.176.90
;Bagtag printer;1;Epson ;TM-L500a;UC4F001084;Island F21;;172.17.176.91
;Bagtag printer;1;Epson ;TM-L500a;UC4F001096;Island F22;;172.17.176.92
;Bagtag printer;1;Epson ;TM-L500a;UC4F001100;Island F23;;172.17.176.93
;Bagtag printer;1;Epson ;TM-L500a;UC4F001062;Island F24;;172.17.176.94
;Bagtag printer;1;Epson ;TM-L500a;UC4F001103;Island F25;;172.17.176.95
;Bagtag printer;1;Epson ;TM-L500a;;Island D1;;172.17.176.11
;Bagtag printer;1;Epson ;TM-L500a;;Island D2;;172.17.176.12
;Bagtag printer;1;Epson ;TM-L500a;;Island D3;;172.17.176.13
;Bagtag printer;1;Epson ;TM-L500a;;Island D4;;172.17.176.14
;Bagtag printer;1;Epson ;TM-L500a;;Island D5;;172.17.176.15
;Bagtag printer;1;Epson ;TM-L500a;;Island D6;;172.17.176.16
;Bagtag printer;1;Epson ;TM-L500a;;Island D7;;172.17.176.17
;Bagtag printer;1;Epson ;TM-L500a;;Island D8;;172.17.176.18
;Bagtag printer;1;Epson ;TM-L500a;;Island D9;;172.17.176.19
